rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1599930883018649335,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018652868,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018655976,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018660193,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018663441,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018673312,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018680245,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040770983,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040783106,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040795638,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040842308,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040848137,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040853048,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040859142,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040862859,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040873528,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040880996,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040908440,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040913535,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040917239,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040921560,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040928643,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040932715,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040936407,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040947334,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040953042,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040957537,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040963252,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040967584,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040972331,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040976022,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040984075,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040988475,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040992037,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883040996695,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041002999,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041006733,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041010686,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041014490,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041018636,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041025180,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041029659,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041033912,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041038103,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041043419,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041047904,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041052319,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041057675,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041064586,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041076272,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041081609,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041085439,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041089331,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041134733,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041140027,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041166500,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041173572,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041177302,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041180800,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041186082,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041190043,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041193985,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041198447,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041250130,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041254625,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041257572,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041260728,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041291012,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041295470,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041301509,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041305074,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041311979,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041316942,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041320356,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
