rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1599932301264927927,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265014054,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265096515,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265116105,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265171598,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265205315,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265213349,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265317136,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265365804,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265375074,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265379132,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265466292,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265474588,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265478979,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265556974,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265564121,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265573734,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265602388,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265606421,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265626962,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265633367,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265639011,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265670694,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265675455,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265679042,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265770454,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265911728,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301265918256,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
